customer_id,customer_name,gender,birth_year,registration_date,email,phone,country,city,zip_code,registration_channel,loyalty_tier,preferred_category,avg_order_value_segment,last_login_date,total_orders,total_spent,last_order_date,age
1,User_1,Female,1998.0,2023-07-18,user1@example.com,,Australia,London,86820.0,Web,Silver,Clothing,Medium,2024-11-27,12.0,6773.43,2024-11-27,27.0
2,User-2,Unknown,1988.0,2023-05-23,user2@example.com,,Other,New York City,,Social Media,Bronze,Clothing,Medium,2024-12-01,16.0,8511.86,2024-12-01,37.0
3,User_3,Unknown,1980.0,2023-08-25,user3@example.com,13879322.0,UK,Sydney,10769.0,Referral,Silver,Sports,High,2024-12-15,10.0,10629.14,2024-12-15,45.0
4,User 4,Female,1993.0,2021-01-20,user4@example.com,17917949.0,Other,NY,0.0,,Silver,Books,High,2024-12-03,11.0,7339.17,2024-12-03,32.0
5,User_5,Unknown,1990.0,2023-08-30,user5@example.com,14605555.0,Australia,New York City,0.0,Mobile App,Platinum,Books,High,2024-06-24,8.0,8079.83,2024-06-24,35.0
6,User_6,Male,1994.0,2022-12-18,user6@example.com,18609666.0,Canada,London,,Web,Platinum,Sports,high,2024-11-17,9.0,8390.02,2024-11-17,31.0
7,User 7,Unknown,1997.0,2022-08-15,user7@example.com,14893734.0,USA,Sydney,,mobile,Bronze,Sports,low,2024-11-18,6.0,2893.42,2024-11-18,28.0
8,User 8,Male,1972.0,2021-10-08,user8@example.com,17844890.0,Other,London,90038.0,Referral,Bronze,Sports,low,2024-10-24,5.0,4142.46,2024-10-24,53.0
10,User-10,Female,1978.0,2022-06-16,user10@example.com,16453612.0,Other,SYD,0.0,Mobile App,Silver,Clothing,medium,2024-12-16,10.0,3722.14,2024-12-16,47.0
11,User-11,Unknown,1976.0,2020-02-04,user11@example.com,17271775.0,Other,纽约,90077.0,Mobile App,Silver,Electronics,high,2024-12-05,12.0,7949.0,2024-12-05,49.0
12,User 12,Male,1986.0,2023-11-12,user12@example.com,,Other,Sydney,,Mobile App,Platinum,,High,2024-11-30,13.0,9855.75,2024-11-30,39.0
13,User 13,Unknown,1975.0,2021-12-03,user13@example.com,18654843.0,USA,LA,82409.0,web,Platinum,Sports,Medium,2024-11-30,6.0,8433.36,2024-11-30,50.0
14,User 14,Male,2003.0,2020-09-26,,15011995.0,Other,LON,0.0,web,Gold,,medium,2024-06-28,7.0,5915.17,2024-06-28,22.0
15,用户15,Female,1984.0,2023-06-29,user15@example.com,17558629.0,Canada,London,,Referral,Bronze,,high,2024-12-14,15.0,9211.9,2024-12-14,41.0
16,User 16,Female,1990.0,2022-12-12,user16@example.com,16371878.0,Other,LON,0.0,Referral,Gold,Home,low,2024-09-23,11.0,4465.79,2024-09-23,35.0
17,User_17,Female,1995.0,2020-07-06,user17@example.com,15165859.0,USA,纽约,0.0,Referral,Platinum,Books,Medium,2025-12-31,12.0,10487.19,2025-12-31,30.0
19,用户19,Male,1970.0,2023-02-26,user19@example.com,18206463.0,Other,Sydney,0.0,Web,Silver,Clothing,Low,2024-08-02,12.0,11883.06,2024-08-02,55.0
20,User_20,Female,1977.0,2021-08-15,user20@example.com,17716258.0,Australia,NY,,mobile,Silver,Home,Medium,2024-11-07,11.0,7972.25,2024-11-07,48.0
21,User_21,Unknown,2004.0,2020-08-18,user21@example.com,17186892.0,Other,LON,74505.0,Web,Platinum,Sports,High,2024-12-20,11.0,48360.52,2024-12-20,21.0
22,User-22,Unknown,1997.0,2022-02-18,user22@example.com,14349392.0,Australia,Sydney,62256.0,mobile,Bronze,,Low,2024-11-13,9.0,5692.16,2024-11-13,28.0
23,User 23,Male,1992.0,2020-04-08,user23@example.com,18739996.0,Canada,纽约,,web,Platinum,Home,,2024-07-04,11.0,6874.58,2024-07-04,33.0
24,User-24,Unknown,1991.0,2021-09-04,user24@example.com,18466056.0,Other,LON,,web,Bronze,Electronics,Low,2024-08-07,6.0,5352.18,2024-08-07,34.0
25,User 25,Unknown,1983.0,2022-10-25,user25@example.com,19424840.0,Other,New York City,16910.0,Social Media,Silver,Electronics,High,2024-06-22,4.0,2943.93,2024-06-22,42.0
26,User 26,Unknown,1983.0,2022-11-04,user26@example.com,16921206.0,USA,New York City,0.0,Referral,Bronze,Clothing,high,2024-11-18,14.0,18733.6,2024-11-18,42.0
27,User_27,Female,1982.0,2022-01-12,user27@example.com,19901863.0,Other,New York,,Mobile App,Platinum,Books,High,2024-11-10,14.0,11211.39,2024-11-10,43.0
28,User-28,Female,2001.0,2020-08-18,user28@example.com,17848574.0,USA,Los Angeles,,mobile,Bronze,,,2024-10-27,8.0,7214.88,2024-10-27,24.0
29,User-29,Male,1984.0,2022-11-25,user29@example.com,14705636.0,Other,NY,,Social Media,Silver,Books,medium,2024-10-25,9.0,7153.59,2024-10-25,41.0
30,User_30,Male,2001.0,2021-07-31,user30@example.com,19984157.0,Other,Sydney,0.0,Social Media,Bronze,Electronics,high,2024-12-14,11.0,9054.1,2024-12-14,24.0
31,用户31,Unknown,1975.0,2023-09-25,user31@example.com,13274627.0,Canada,London,,web,Gold,Clothing,low,2024-09-15,14.0,6617.21,2024-09-15,50.0
32,User_32,Unknown,1980.0,2023-06-08,user32@example.com,19396592.0,Other,Los Angeles,0.0,Referral,Silver,Books,low,2024-07-10,9.0,4480.84,2024-07-10,45.0
33,User-33,Male,1970.0,2021-09-24,user33@example.com,16762306.0,Other,SYD,,Web,Platinum,,High,2024-09-16,10.0,8106.89,2024-09-16,55.0
34,User_34,Female,,2021-12-10,user34@example.com,15588526.0,UK,London,0.0,mobile,Bronze,Books,low,2024-12-14,12.0,439781.16,2024-12-14,
