customer_id,customer_name,gender,birth_year,registration_date,email,phone,country,city,zip_code,registration_channel,loyalty_tier,preferred_category,avg_order_value_segment,last_login_date,total_orders,total_spent,last_order_date
1,User_1,Female,1998.0,2023-07-18,user1@example.com,,AU,London,86820,Web,Silver,Clothing,Medium,2024-11-27,12.0,6773.43,2024-11-27
2,USER-2,未知,1988.0,2023-05-23,user2@example.com,,USA,New York City,,Social Media,bronze,Clothing,Medium,2024-12-01,16.0,8511.86,2024-12-01
3,User_3,F,1980.0,2023-08-25,user3@example.com,13879322,GB,Sydney,10769,Referral,Silver,Sports,High,2024-12-15,10.0,10629.14,2024-12-15
4,user 4,Female,1993.0,2021-01-20,user4@example.com,17917949,,NY,00000,,Silver,Books,High,2024-12-03,11.0,7339.17,2024-12-03
5,User_5,M,1990.0,2023-08-30,user5@example.com,14605555,AU,New York City,00000,Mobile App,VIP,Books,High,2024-06-24,8.0,8079.83,2024-06-24
6,User_6,Male,1994.0,2022-12-18,user6@example.com,18609666,CANADA,London,N/A,Web,Platinum,Sports,high,2024-11-17,9.0,8390.02,2024-11-17
7,user 7,,1997.0,2022-08-15,user7@example.com,14893734,美国,Sydney,N/A,mobile,,Sports,low,2024-11-18,6.0,2893.42,2024-11-18
8,user 8,Male,1972.0,2021-10-08,user8@example.com,17844890,United States,London,90038,Referral,,Sports,low,2024-10-24,5.0,4142.46,2024-10-24
9,USER-9,M,1800.0,2020-11-11,user9@example.com,15739792,US,Los Angeles,,Mobile App,VIP,Electronics,high,2024-08-08,7.0,6433.719999999999,2024-08-08
10,USER-10,Female,1978.0,2022-06-16,user10@example.com,16453612,Australia,SYD,00000,Mobile App,silver,Clothing,medium,2024-12-16,10.0,3722.14,2024-12-16
11,USER-11,,1976.0,2020-02-04,user11@example.com,17271775,,纽约,90077,Mobile App,Silver,Electronics,high,2024-12-05,12.0,7949.0,2024-12-05
12,user 12,male,1986.0,2023-11-12,user12@example.com,,,Sydney,,Mobile App,Platinum,,High,2024-11-30,13.0,9855.75,2024-11-30
13,user 13,,1975.0,2021-12-03,user13@example.com,18654843,US,LA,82409,web,Platinum,Sports,Medium,2024-11-30,6.0,8433.36,2024-11-30
14,user 14,Male,2003.0,2020-09-26,,15011995,,LON,00000,web,Gold,,medium,2024-06-28,7.0,5915.17,2024-06-28
