"customer_id";"customer_name";"gender";"birth_year";"registration_date";"email";"phone";"country";"city";"zip_code";"registration_channel";"loyalty_tier";"preferred_category";"avg_order_value_segment";"last_login_date";"total_orders";"total_spent"
1;"User_1";"Male";1976;"2022-09-05";"user1@example.com";"14465443";"USA";"Sydney";"72457";"Web";"Bronze";"Clothing";"Medium";"2024-09-20";11;9820.19
2;"User_2";"Female";2001;"2023-04-02";"user2@example.com";"15531398";"Australia";"Toronto";"37080";"Mobile App";"Silver";"Electronics";"Low";"2024-12-24";9;7667.29
3;"User_3";"Female";1988;"2021-01-09";"user3@example.com";"16333172";"USA";"Toronto";"21797";"Social Media";"Gold";"Sports";"Low";"2024-12-17";7;5212.41
4;"User_4";"Female";1975;"2023-05-28";"user4@example.com";"16977274";"Australia";"New York";"67056";"Web";"Bronze";"Home";"Medium";"2024-11-13";14;15779.22
5;"User_5";"Male";1989;"2023-07-01";"user5@example.com";"18613939";"USA";"Los Angeles";"36457";"Web";"Bronze";"Electronics";"Low";"2024-11-25";13;9214.27
6;"User_6";"Male";1996;"2020-07-06";"user6@example.com";"17066965";"USA";"London";"30917";"Mobile App";"Gold";"Sports";"Medium";"2024-11-12";8;7789.03
7;"User_7";"Male";1976;"2023-04-29";"user7@example.com";"16337348";"Canada";"Chicago";"18871";"Web";"Platinum";"Books";"Low";"2024-12-28";11;8593.6
8;"User_8";"Female";1974;"2023-11-13";"user8@example.com";"19028099";"UK";"London";"29053";"Mobile App";"Bronze";"Sports";"Low";"2024-11-06";13;10263.29
9;"User_9";"Female";1980;"2023-05-23";"user9@example.com";"16542196";"USA";"Toronto";"76727";"Social Media";"Gold";"Electronics";"Low";"2024-11-09";10;7444.98
10;"User_10";"Female";1984;"2023-10-30";"user10@example.com";"14881823";"USA";"Chicago";"93050";"Social Media";"Bronze";"Clothing";"Low";"2024-12-25";8;7560.39
11;"User_11";"Male";1972;"2023-01-14";"user11@example.com";"13018084";"Canada";"Chicago";"93323";"Mobile App";"Bronze";"Clothing";"Low";"2024-12-28";9;4356.42
12;"User_12";"Female";1974;"2021-04-18";"user12@example.com";"14671535";"Australia";"London";"69415";"Referral";"Silver";"Sports";"High";"2024-12-30";18;11185.24
13;"User_13";"Female";1992;"2022-04-23";"user13@example.com";"18798537";"Canada";"London";"48398";"Mobile App";"Silver";"Sports";"Low";"2024-11-30";9;8866.34
14;"User_14";"Male";1978;"2021-06-14";"user14@example.com";"18951949";"USA";"London";"85058";"Referral";"Silver";"Home";"Low";"2024-10-27";10;8366.88
15;"User_15";"Male";1984;"2022-12-06";"user15@example.com";"17361543";"USA";"London";"15030";"Web";"Bronze";"Books";"Low";"2024-10-26";9;5579.14
16;"User_16";"Male";1972;"2022-12-24";"user16@example.com";"19815224";"UK";"Los Angeles";"11381";"Mobile App";"Bronze";"Home";"Low";"2024-09-23";10;6586.95
17;"User_17";"Male";1998;"2022-08-20";"user17@example.com";"17463866";"USA";"New York";"26753";"Referral";"Gold";"Home";"Low";"2024-11-08";6;3389.2
18;"User_18";"Female";1975;"2021-04-19";"user18@example.com";"14982836";"USA";"New York";"15092";"Mobile App";"Bronze";"Clothing";"High";"2024-09-12";14;10480.48
19;"User_19";"Male";1986;"2023-03-15";"user19@example.com";"13769560";"USA";"London";"62946";"Social Media";"Bronze";"Clothing";"Low";"2024-10-22";9;6670.37
20;"User_20";"Male";1995;"2022-08-03";"user20@example.com";"18251348";"USA";"New York";"97620";"Web";"Gold";"Electronics";"Medium";"2024-08-11";9;8264.5
21;"User_21";"Female";1990;"2023-11-06";"user21@example.com";"18055333";"USA";"London";"90093";"Social Media";"Silver";"Home";"Low";"2024-12-20";16;10718.2
22;"User_22";"Male";1977;"2022-12-25";"user22@example.com";"15796696";"USA";"London";"68520";"Mobile App";"Bronze";"Electronics";"Low";"2024-09-10";10;8906.19
23;"User_23";"Male";1990;"2021-05-31";"user23@example.com";"17313185";"Canada";"London";"18567";"Web";"Bronze";"Sports";"Low";"2024-09-23";12;12334.29
24;"User_24";"Male";1980;"2023-01-21";"user24@example.com";"15684811";"USA";"Sydney";"90152";"Web";"Gold";"Electronics";"Medium";"2024-12-18";10;8452.8
25;"User_25";"Male";1977;"2021-03-01";"user25@example.com";"15008309";"USA";"Los Angeles";"94680";"Web";"Platinum";"Clothing";"Low";"2024-12-26";9;7290.61
26;"User_26";"Female";1993;"2023-01-22";"user26@example.com";"19119086";"USA";"Toronto";"37866";"Referral";"Bronze";"Home";"Medium";"2024-08-24";14;14239.12
27;"User_27";"Male";2004;"2020-05-12";"user27@example.com";"19102846";"UK";"New York";"44711";"Mobile App";"Silver";"Clothing";"Low";"2024-11-24";12;12204.69
28;"User_28";"Female";1983;"2023-12-28";"user28@example.com";"16543894";"Canada";"New York";"58743";"Referral";"Bronze";"Sports";"High";"2024-12-22";7;5563.45
29;"User_29";"Female";1983;"2023-09-26";"user29@example.com";"16281558";"USA";"Los Angeles";"35386";"Mobile App";"Gold";"Books";"Low";"2024-12-10";10;8850.67
30;"User_30";"Male";1979;"2020-11-09";"user30@example.com";"15302681";"USA";"Los Angeles";"96842";"Referral";"Bronze";"Home";"Low";"2024-09-23";9;5821.43
31;"User_31";"Female";1981;"2021-08-13";"user31@example.com";"14456271";"USA";"London";"33013";"Mobile App";"Silver";"Clothing";"Low";"2024-10-06";10;6184.01
32;"User_32";"Male";2003;"2023-05-20";"user32@example.com";"14399854";"UK";"London";"16885";"Web";"Silver";"Books";"Low";"2024-12-26";10;6928.08
33;"User_33";"Male";1979;"2022-10-05";"user33@example.com";"13204325";"USA";"Sydney";"42821";"Web";"Silver";"Sports";"Low";"2024-10-28";13;9420.93
34;"User_34";"Female";1986;"2020-06-07";"user34@example.com";"13632241";"USA";"Sydney";"24045";"Referral";"Gold";"Books";"Low";"2024-11-11";5;4234.07
35;"User_35";"Female";1986;"2023-07-15";"user35@example.com";"13714037";"Canada";"Toronto";"28780";"Web";"Bronze";"Clothing";"Low";"2024-12-21";10;9952.26
36;"User_36";"Female";1972;"2021-10-22";"user36@example.com";"14612781";"Canada";"New York";"35550";"Web";"Gold";"Clothing";"Low";"2024-11-22";7;3888.24
37;"User_37";"Male";2000;"2022-01-17";"user37@example.com";"18792477";"USA";"Los Angeles";"99771";"Web";"Bronze";"Sports";"Low";"2024-10-14";13;10728.11
38;"User_38";"Male";1970;"2022-03-11";"user38@example.com";"16831106";"USA";"Toronto";"88377";"Web";"Bronze";"Sports";"Medium";"2024-12-15";9;6513.32
